txn_date,blr_name,total_transactions,total_amount,total_biller_fee
2025-09-29,BILLER_10,73,23741,94.39
2025-09-30,BILLER_01,114,32861,130.46
2025-09-30,BILLER_02,107,25630,105.19
2025-09-30,BILLER_03,116,32948,134.65
2025-09-30,BILLER_04,103,25894,106.14
2025-09-30,BILLER_05,129,40599,161.8
2025-09-30,BILLER_06,124,36732,146.51
2025-09-30,BILLER_07,107,32446,123.88
2025-09-30,BILLER_08,106,33205,128.69
2025-09-30,BILLER_09,113,37494,147.33
2025-09-30,BILLER_10,118,36722,152.64
2025-10-01,BILLER_01,162,45960,181.29
2025-10-01,BILLER_02,159,53083,215.57
2025-10-01,BILLER_03,154,43866,176.52
2025-10-01,BILLER_04,147,40681,162.22
2025-10-01,BILLER_05,153,47862,191.93
2025-10-01,BILLER_06,174,51940,211.53
2025-10-01,BILLER_07,170,52441,213.38
2025-10-01,BILLER_08,159,50986,205.66
2025-10-01,BILLER_09,146,47928,190.82
2025-10-01,BILLER_10,149,41956,168.62
2025-10-02,BILLER_01,150,38513,155.61
2025-10-02,BILLER_02,156,48583,194.16
2025-10-02,BILLER_03,153,46093,187.93
2025-10-02,BILLER_04,164,43102,171.05
2025-10-02,BILLER_05,168,54770,217.55
2025-10-02,BILLER_06,169,57660,230.41
2025-10-02,BILLER_07,150,50792,200.12
2025-10-02,BILLER_08,180,47251,183.35999999999999
2025-10-02,BILLER_09,174,57248,228.46
2025-10-02,BILLER_10,152,44701,178.03
2025-10-03,BILLER_01,86,21222,85.45
2025-10-03,BILLER_02,98,27324,113.5
2025-10-03,BILLER_03,98,28455,115.4
2025-10-03,BILLER_04,103,26997,104.07000000000001
2025-10-03,BILLER_05,102,27291,112.14
2025-10-03,BILLER_06,116,31539,126.36
2025-10-03,BILLER_07,94,28998,113.75
2025-10-03,BILLER_08,102,37456,153.12
2025-10-03,BILLER_09,113,30817,125.22
2025-10-03,BILLER_10,105,34962,139.67
2025-10-04,BILLER_01,102,30011,118.12
2025-10-04,BILLER_02,92,28400,116.87
2025-10-04,BILLER_03,127,39588,162.39
2025-10-04,BILLER_04,108,31207,124.42
2025-10-04,BILLER_05,107,35098,139.08
2025-10-04,BILLER_06,97,24996,98.62
2025-10-04,BILLER_07,102,34518,138.99
2025-10-04,BILLER_08,104,30316,124.98
2025-10-04,BILLER_09,108,28661,117.59
2025-10-04,BILLER_10,100,30430,118.4
2025-10-05,BILLER_01,123,38304,155.09
2025-10-05,BILLER_02,111,27710,109.63
2025-10-05,BILLER_03,91,31571,129.05
2025-10-05,BILLER_04,93,26638,102.26
2025-10-05,BILLER_05,114,40837,157.59
2025-10-05,BILLER_06,117,38326,156.74
2025-10-05,BILLER_07,116,36885,149.84
2025-10-05,BILLER_08,94,28303,115.81
2025-10-05,BILLER_09,114,29719,120.6
2025-10-05,BILLER_10,100,27374,104.1
2025-10-06,BILLER_01,102,24241,101.93
2025-10-06,BILLER_02,129,38429,150.14
2025-10-06,BILLER_03,112,29496,117.85000000000001
2025-10-06,BILLER_04,109,32865,133.39000000000001
2025-10-06,BILLER_05,109,33094,136.24
2025-10-06,BILLER_06,100,27027,110.33
2025-10-06,BILLER_07,111,26400,107.37
2025-10-06,BILLER_08,99,29981,115.97
2025-10-06,BILLER_09,115,34747,141.60999999999999
2025-10-06,BILLER_10,100,33312,128.91
2025-10-07,BILLER_01,111,30357,120.93
2025-10-07,BILLER_02,120,38213,152.67
2025-10-07,BILLER_03,105,29533,117.55
2025-10-07,BILLER_04,104,29839,121.0
2025-10-07,BILLER_05,110,34833,143.19
2025-10-07,BILLER_06,121,41110,166.69
2025-10-07,BILLER_07,96,27052,107.42
2025-10-07,BILLER_08,103,25777,100.06
2025-10-07,BILLER_09,106,27956,109.64999999999999
2025-10-07,BILLER_10,103,37210,150.0
2025-10-08,BILLER_01,96,28649,112.69
2025-10-08,BILLER_02,96,29063,116.3
2025-10-08,BILLER_03,113,30306,121.33
2025-10-08,BILLER_04,109,30032,118.16
2025-10-08,BILLER_05,92,30218,122.96
2025-10-08,BILLER_06,96,35564,142.68
2025-10-08,BILLER_07,101,29860,123.14
2025-10-08,BILLER_08,107,36051,149.77
2025-10-08,BILLER_09,99,30719,120.00999999999999
2025-10-08,BILLER_10,106,29418,117.67999999999999
2025-10-09,BILLER_01,107,31076,122.81
2025-10-09,BILLER_02,111,32647,132.62
2025-10-09,BILLER_03,117,35536,143.73
2025-10-09,BILLER_04,109,35389,140.53
2025-10-09,BILLER_05,107,33684,140.89
2025-10-09,BILLER_06,106,26590,107.32000000000001
2025-10-09,BILLER_07,96,29367,120.59
2025-10-09,BILLER_08,88,25670,106.11
2025-10-09,BILLER_09,105,29024,121.08
2025-10-09,BILLER_10,80,22592,89.83
2025-10-10,BILLER_01,213,61361,247.4
2025-10-10,BILLER_02,206,62618,248.82
2025-10-10,BILLER_03,193,53976,213.92
2025-10-10,BILLER_04,215,71954,287.98
2025-10-10,BILLER_05,192,54497,220.1
2025-10-10,BILLER_06,190,57982,232.8
2025-10-10,BILLER_07,187,53810,216.23
2025-10-10,BILLER_08,172,50844,201.06
2025-10-10,BILLER_09,212,65650,258.82
2025-10-10,BILLER_10,184,53971,215.83
2025-10-11,BILLER_01,198,60030,242.73
2025-10-11,BILLER_02,185,56205,227.17
2025-10-11,BILLER_03,165,49316,198.62
2025-10-11,BILLER_04,227,62693,250.45
2025-10-11,BILLER_05,187,61282,245.16
2025-10-11,BILLER_06,203,60420,234.53
2025-10-11,BILLER_07,179,52104,209.44
2025-10-11,BILLER_08,186,55794,223.6
2025-10-11,BILLER_09,181,52515,206.93
2025-10-11,BILLER_10,202,64100,252.18
2025-10-12,BILLER_01,191,53608,208.2
2025-10-12,BILLER_02,178,50182,205.54
2025-10-12,BILLER_03,188,57345,229.25
2025-10-12,BILLER_04,193,57803,232.33
2025-10-12,BILLER_05,174,53989,220.53
2025-10-12,BILLER_06,190,63034,251.11
2025-10-12,BILLER_07,198,54896,213.35
2025-10-12,BILLER_08,205,60544,237.57
2025-10-12,BILLER_09,196,56949,227.95
2025-10-12,BILLER_10,205,59957,241.48
2025-10-13,BILLER_01,103,31040,126.4
2025-10-13,BILLER_02,109,30462,119.35
2025-10-13,BILLER_03,110,32359,127.74
2025-10-13,BILLER_04,96,28257,114.21
2025-10-13,BILLER_05,100,30656,120.75
2025-10-13,BILLER_06,108,30283,119.6
2025-10-13,BILLER_07,96,33875,137.55
2025-10-13,BILLER_08,98,24962,97.81
2025-10-13,BILLER_09,113,30319,125.23
2025-10-13,BILLER_10,109,37291,149.68
2025-10-14,BILLER_01,102,32190,130.78
2025-10-14,BILLER_02,100,29692,118.7
2025-10-14,BILLER_03,103,32468,133.5
2025-10-14,BILLER_04,107,29049,115.27
2025-10-14,BILLER_05,116,36004,138.33
2025-10-14,BILLER_06,111,36749,150.11
2025-10-14,BILLER_07,109,31805,125.01
2025-10-14,BILLER_08,124,31458,128.16
2025-10-14,BILLER_09,108,30198,115.79
2025-10-14,BILLER_10,112,34745,137.85
2025-10-15,BILLER_01,107,28967,116.2
2025-10-15,BILLER_02,115,28606,113.14
2025-10-15,BILLER_03,112,31589,124.14
2025-10-15,BILLER_04,103,27603,115.65
2025-10-15,BILLER_05,116,40516,156.22
2025-10-15,BILLER_06,87,24796,99.64
2025-10-15,BILLER_07,116,41267,163.99
2025-10-15,BILLER_08,123,32340,129.16
2025-10-15,BILLER_09,120,36633,147.37
2025-10-15,BILLER_10,126,33835,140.76
2025-10-16,BILLER_01,108,34500,137.5
2025-10-16,BILLER_02,96,26115,104.11
2025-10-16,BILLER_03,74,19259,77.28
2025-10-16,BILLER_04,112,32430,124.11
2025-10-16,BILLER_05,92,25889,99.71000000000001
2025-10-16,BILLER_06,106,33276,133.97
2025-10-16,BILLER_07,105,37251,150.18
2025-10-16,BILLER_08,109,32656,138.49
2025-10-16,BILLER_09,96,31769,127.18
2025-10-16,BILLER_10,94,26703,104.11
2025-10-17,BILLER_01,77,21164,86.58
2025-10-17,BILLER_02,107,32588,129.54
2025-10-17,BILLER_03,105,25619,105.34
2025-10-17,BILLER_04,114,32041,131.46
2025-10-17,BILLER_05,103,33296,138.25
2025-10-17,BILLER_06,115,35552,143.13
2025-10-17,BILLER_07,105,24349,97.3
2025-10-17,BILLER_08,91,30271,123.33
2025-10-17,BILLER_09,105,33117,131.18
2025-10-17,BILLER_10,116,34967,139.75
2025-10-18,BILLER_01,90,27966,114.61
2025-10-18,BILLER_02,111,39531,158.11
2025-10-18,BILLER_03,83,18673,72.41
2025-10-18,BILLER_04,98,28992,116.7
2025-10-18,BILLER_05,103,25620,100.26
2025-10-18,BILLER_06,102,34111,135.13
2025-10-18,BILLER_07,122,42353,171.94
2025-10-18,BILLER_08,105,33012,129.22
2025-10-18,BILLER_09,108,28334,117.96
2025-10-18,BILLER_10,101,29127,114.95
2025-10-19,BILLER_01,211,67063,264.68
2025-10-19,BILLER_02,239,65311,260.54
2025-10-19,BILLER_03,229,68862,271.71
2025-10-19,BILLER_04,243,72119,288.56
2025-10-19,BILLER_05,220,61521,246.7
2025-10-19,BILLER_06,225,69365,282.03
2025-10-19,BILLER_07,200,59100,233.47
2025-10-19,BILLER_08,215,66942,263.34
2025-10-19,BILLER_09,249,71729,287.35
2025-10-19,BILLER_10,241,68349,270.23
2025-10-20,BILLER_01,471,142092,568.18
2025-10-20,BILLER_02,438,137310,553.68
2025-10-20,BILLER_03,448,132514,528.04
2025-10-20,BILLER_04,439,140437,569.81
2025-10-20,BILLER_05,471,158588,627.47
2025-10-20,BILLER_06,409,133284,531.99
2025-10-20,BILLER_07,434,132196,522.52
2025-10-20,BILLER_08,444,135548,540.7
2025-10-20,BILLER_09,445,139361,549.73
2025-10-20,BILLER_10,521,162500,654.03
2025-10-21,BILLER_01,461,153866,618.72
2025-10-21,BILLER_02,457,140654,562.72
2025-10-21,BILLER_03,459,137627,543.76
2025-10-21,BILLER_04,402,126143,496.75
2025-10-21,BILLER_05,459,134711,543.34
2025-10-21,BILLER_06,461,128253,521.55
2025-10-21,BILLER_07,468,142218,576.38
2025-10-21,BILLER_08,441,137971,549.07
2025-10-21,BILLER_09,429,131757,528.0
2025-10-21,BILLER_10,405,112432,449.05
2025-10-22,BILLER_01,206,65720,267.06
2025-10-22,BILLER_02,178,51544,205.67
2025-10-22,BILLER_03,201,67734,276.64
2025-10-22,BILLER_04,191,57695,231.41
2025-10-22,BILLER_05,179,53002,210.57
2025-10-22,BILLER_06,191,57305,226.21
2025-10-22,BILLER_07,215,56273,228.12
2025-10-22,BILLER_08,197,53675,207.66
2025-10-22,BILLER_09,214,61991,243.75
2025-10-22,BILLER_10,168,53574,213.05
2025-10-23,BILLER_01,108,33255,138.57
2025-10-23,BILLER_02,103,30184,118.95
2025-10-23,BILLER_03,91,21942,89.41
2025-10-23,BILLER_04,110,31836,126.54
2025-10-23,BILLER_05,106,32002,122.56
2025-10-23,BILLER_06,109,27514,115.35
2025-10-23,BILLER_07,110,33669,136.11
2025-10-23,BILLER_08,109,30210,122.83
2025-10-23,BILLER_09,97,32135,131.21
2025-10-23,BILLER_10,113,34328,138.68
2025-10-24,BILLER_01,123,37041,151.06
2025-10-24,BILLER_02,104,28993,118.43
2025-10-24,BILLER_03,115,38942,162.11
2025-10-24,BILLER_04,94,24875,96.48
2025-10-24,BILLER_05,95,32260,132.67
2025-10-24,BILLER_06,103,28251,114.3
2025-10-24,BILLER_07,96,32171,129.62
2025-10-24,BILLER_08,99,27530,112.42
2025-10-24,BILLER_09,102,27769,113.09
2025-10-24,BILLER_10,118,27251,107.64999999999999
2025-10-25,BILLER_01,128,38239,153.0
2025-10-25,BILLER_02,102,32654,129.83
2025-10-25,BILLER_03,106,32961,134.44
2025-10-25,BILLER_04,90,24561,96.51
2025-10-25,BILLER_05,104,31260,125.02
2025-10-25,BILLER_06,99,27022,111.01
2025-10-25,BILLER_07,113,32158,128.96
2025-10-25,BILLER_08,102,34732,136.35999999999999
2025-10-25,BILLER_09,124,38226,155.92000000000002
2025-10-25,BILLER_10,103,27235,109.72
2025-10-26,BILLER_01,91,25127,99.49
2025-10-26,BILLER_02,117,34175,139.55
2025-10-26,BILLER_03,107,30433,120.4
2025-10-26,BILLER_04,105,32368,130.16
2025-10-26,BILLER_05,100,25306,104.69
2025-10-26,BILLER_06,103,28889,114.53999999999999
2025-10-26,BILLER_07,99,25761,104.60000000000001
2025-10-26,BILLER_08,109,36394,146.65
2025-10-26,BILLER_09,116,35871,142.93
2025-10-26,BILLER_10,102,32168,130.02
2025-10-27,BILLER_01,145,42817,172.63
2025-10-27,BILLER_02,117,38519,152.53
2025-10-27,BILLER_03,91,28204,113.32
2025-10-27,BILLER_04,105,29018,113.5
2025-10-27,BILLER_05,103,30107,121.89
2025-10-27,BILLER_06,96,26954,105.07
2025-10-27,BILLER_07,112,39446,159.10999999999999
2025-10-27,BILLER_08,114,33754,131.16
2025-10-27,BILLER_09,104,32467,130.05
2025-10-27,BILLER_10,109,26147,103.57000000000001
2025-10-28,BILLER_01,103,30943,120.88
2025-10-28,BILLER_02,114,35186,143.9
2025-10-28,BILLER_03,114,33706,134.74
2025-10-28,BILLER_04,102,28849,119.1
2025-10-28,BILLER_05,117,36121,147.43
2025-10-28,BILLER_06,116,34735,142.33
2025-10-28,BILLER_07,102,31344,125.93
2025-10-28,BILLER_08,107,27205,106.87
2025-10-28,BILLER_09,98,27309,110.56
2025-10-28,BILLER_10,107,23665,93.95
2025-10-29,BILLER_01,103,33117,133.53
2025-10-29,BILLER_02,108,33397,136.97
2025-10-29,BILLER_03,102,30645,117.64
2025-10-29,BILLER_04,119,39638,157.88
2025-10-29,BILLER_05,129,48017,194.9
2025-10-29,BILLER_06,99,36528,150.14
2025-10-29,BILLER_07,102,35214,146.25
2025-10-29,BILLER_08,108,29852,117.23
2025-10-29,BILLER_09,120,34479,137.74
2025-10-29,BILLER_10,102,28921,115.28
2025-10-30,BILLER_01,130,40064,156.69
2025-10-30,BILLER_02,123,38072,156.52
2025-10-30,BILLER_03,132,35950,141.54
2025-10-30,BILLER_04,122,35716,142.85
2025-10-30,BILLER_05,133,37201,150.52
2025-10-30,BILLER_06,133,39393,154.66
2025-10-30,BILLER_07,151,46532,185.01
2025-10-30,BILLER_08,138,40246,157.7
2025-10-30,BILLER_09,135,35187,139.52
2025-10-30,BILLER_10,152,52069,210.79
2025-10-31,BILLER_01,145,47302,189.91
2025-10-31,BILLER_02,141,39703,159.52
2025-10-31,BILLER_03,142,45802,186.1
2025-10-31,BILLER_04,132,39976,162.08
2025-10-31,BILLER_05,127,41274,166.03
2025-10-31,BILLER_06,134,40109,162.3
2025-10-31,BILLER_07,140,44018,177.71
2025-10-31,BILLER_08,139,42693,174.97
2025-10-31,BILLER_09,133,42345,168.49
2025-10-31,BILLER_10,127,34847,144.92
